student,college,college_clean,done,exclude,notes
Breza,A&M-Corpus Christi,A&M-Corpus Christi,,,
Breza,AIB College of Business,AIB College of Business,,,
Breza,APEC,APEC,,,
Breza,ASA College,ASA College,,,
Breza,ASU,ASU,,,
Breza,Abilene Christian,Abilene Christian,,,
Breza,Abilene Christian University,Abilene Christian University,,,
Breza,Academy of Art,Academy of Art,,,
Breza,Academy of Art University,Academy of Art University,,,
Breza,Academy of the Holy Cross,Academy of the Holy Cross,,,
Breza,Adams State,Adams State,,,
Breza,Adams State University,Adams State University,,,
Breza,Adelphi,Adelphi,,,
Breza,Adelphi University,Adelphi University,,,
Breza,Agnes Scott,Agnes Scott,,,
Breza,Agnes Scott College,Agnes Scott College,,,
Breza,Air Force,Air Force,,,
Breza,Air Force Academy,Air Force Academy,,,
Breza,Akron,Akron,,,
Breza,Akron University,Akron University,,,
Breza,Alabama,Alabama,,,
Breza,Alabama A & M,Alabama A & M,,,
Breza,Alabama A&M,Alabama A&M,,,
Breza,Alabama Southern Community College,Alabama Southern Community College,,,
Breza,Alabama State,Alabama State,,,
Breza,Alabama-Huntsville,Alabama-Huntsville,,,
Breza,Alameda College,Alameda College,,,
Breza,Alaska Fairbanks,Alaska Fairbanks,,,
Breza,Alaska-Anchorage,Alaska-Anchorage,,,
Breza,Albany,Albany,,,
Breza,Albertus Magnus,Albertus Magnus,,,
Breza,Alcorn State,Alcorn State,,,
Breza,Alfred University,Alfred University,,,
Breza,Allegheny College,Allegheny College,,,
Breza,Allen Community College,Allen Community College,,,
Breza,Allen County CC,Allen County CC,,,
Breza,Allen County Community College,Allen County Community College,,,
Breza,Allen University,Allen University,,,
Breza,Alma College,Alma College,,,
Breza,American,American,,,
Breza,American International College,American International College,,,
Breza,American University,American University,,,
Breza,Anderson,Anderson,,,
Breza,Anderson University,Anderson University,,,
Breza,Angelina College,Angelina College,,,
Breza,Angelo State,Angelo State,,,
Breza,Angelo State University,Angelo State University,,,
Breza,Anne Arundel Community College,Anne Arundel Community College,,,
Breza,Anoka Ramsey Community College,Anoka Ramsey Community College,,,
Breza,Appalachian State,Appalachian State,,,
Breza,Appalachian State University,Appalachian State University,,,
Breza,Arcadia,Arcadia,,,
Breza,Arcadia University,Arcadia University,,,
Breza,Arizona,Arizona,,,
Breza,Arizona Christian University,Arizona Christian University,,,
Breza,Arizona State,Arizona State,,,
Breza,Arizona State University,Arizona State University,,,
Breza,Arizona Western College,Arizona Western College,,,
Breza,Arkansas,Arkansas,,,
Breza,Arkansas State,Arkansas State,,,
Breza,Arkansas State University,Arkansas State University,,,
Breza,Arkansas Tech,Arkansas Tech,,,
Breza,Arkansas at Little Rock,Arkansas at Little Rock,,,
Breza,Arkansas – Fort Smith,Arkansas – Fort Smith,,,
Breza,Arkansas-Fort Smith,Arkansas-Fort Smith,,,
Breza,Arkansas-Little Rock,Arkansas-Little Rock,,,
Breza,Arkansas-Monticello,Arkansas-Monticello,,,
Breza,Arkansas-Pine Bluff,Arkansas-Pine Bluff,,,
Breza,Armstrong Atlantic State,Armstrong Atlantic State,,,
Breza,Armstrong State,Armstrong State,,,
Breza,Armstrong State College,Armstrong State College,,,
Breza,Army,Army,,,
Breza,Army West Point,Army West Point,,,
Breza,Ashford,Ashford,,,
Breza,Ashland University,Ashland University,,,
Breza,Atlanta Bucks,Atlanta Bucks,,,
Breza,Atlanta Dream,Atlanta Dream,,,
Breza,Atlanta Metropolitan College,Atlanta Metropolitan College,,,
Breza,Auburn,Auburn,,,
Breza,Auburn University at Montgomery,Auburn University at Montgomery,,,
Breza,Augsburg College,Augsburg College,,,
Breza,Augusta,Augusta,,,
Breza,Augusta College,Augusta College,,,
Breza,Augusta State University,Augusta State University,,,
Breza,Augusta University,Augusta University,,,
Breza,Augustana,Augustana,,,
Breza,Augustana (S.D.) College,Augustana (S.D.) College,,,
Breza,Augustana University,Augustana University,,,
Breza,Aurora,Aurora,,,
Breza,Austin Peay,Austin Peay,,,
Breza,Austin Peay State University,Austin Peay State University,,,
Breza,Austin Spurs,Austin Spurs,,,
Breza,Averett University,Averett University,,,
Breza,Azusa Pacific,Azusa Pacific,,,
Breza,BGSU,BGSU,,,
Breza,BYU,BYU,,,
Breza,Bakersfield,Bakersfield,,,
Breza,Ball State,Ball State,,,
Breza,Barry,Barry,,,
Breza,Barry University,Barry University,,,
Breza,Barton Community College,Barton Community College,,,
Breza,Bates College,Bates College,,,
Breza,Baton Rouge Community College,Baton Rouge Community College,,,
Breza,Baylor,Baylor,,,
Breza,Bellarmine,Bellarmine,,,
Breza,Bellarmine University,Bellarmine University,,,
Breza,Bellevue University,Bellevue University,,,
Breza,Belmont,Belmont,,,
Breza,Belmont Abbey,Belmont Abbey,,,
Breza,Belmont Abbey College,Belmont Abbey College,,,
Breza,Bemidji State,Bemidji State,,,
Breza,Benedict College,Benedict College,,,
Breza,Benedictine University,Benedictine University,,,
Breza,Berea College,Berea College,,,
Breza,Berry College,Berry College,,,
Breza,Bethel University,Bethel University,,,
Breza,Bethesda University,Bethesda University,,,
Breza,Bethune-Cookman,Bethune-Cookman,,,
Breza,Bethune-Cookman University,Bethune-Cookman University,,,
Breza,Big Bend Community College,Big Bend Community College,,,
Breza,Binghamton,Binghamton,,,
Breza,Binghamton University,Binghamton University,,,
Breza,Biola University,Biola University,,,
Breza,Birmingham Southern,Birmingham Southern,,,
Breza,Black Hills State,Black Hills State,,,
Breza,Boise State,Boise State,,,
Breza,Boston,Boston,,,
Breza,Boston Celtics,Boston Celtics,,,
Breza,Boston College,Boston College,,,
Breza,Boston University,Boston University,,,
Breza,Bowie State,Bowie State,,,
Breza,Bowling Green,Bowling Green,,,
Breza,Bowling Green State,Bowling Green State,,,
Breza,Bowling Green State University,Bowling Green State University,,,
Breza,Bradley,Bradley,,,
Breza,Bradley University,Bradley University,,,
Breza,Brevard College,Brevard College,,,
Breza,Brevard Community College,Brevard Community College,,,
Breza,Brewton-Parker College,Brewton-Parker College,,,
Breza,Briar Cliff,Briar Cliff,,,
Breza,Bridgeport,Bridgeport,,,
Breza,Bridgewater,Bridgewater,,,
Breza,Brigham Young,Brigham Young,,,
Breza,Brooklyn Nets,Brooklyn Nets,,,
Breza,Brown,Brown,,,
Breza,Brown University,Brown University,,,
Breza,Bryant,Bryant,,,
Breza,Bryant & Stratton College,Bryant & Stratton College,,,
Breza,Bryn Athyn,Bryn Athyn,,,
Breza,Bryn Mawr College,Bryn Mawr College,,,
Breza,Bucknell,Bucknell,,,
Breza,Bucknell University,Bucknell University,,,
Breza,Buffalo,Buffalo,,,
Breza,Buffalo Sabres,Buffalo Sabres,,,
Breza,Buffalo State,Buffalo State,,,
Breza,Buffalo State College,Buffalo State College,,,
Breza,Butler,Butler,,,
Breza,Butler Community College,Butler Community College,,,
Breza,Butte Community College,Butte Community College,,,
Breza,CCNY,CCNY,,,
Breza,CSU Bakersfield,CSU Bakersfield,,,
Breza,CSU Fullerton,CSU Fullerton,,,
Breza,CSU Monterey Bay,CSU Monterey Bay,,,
Breza,CSUN,CSUN,,,
Breza,CSUSM,CSUSM,,,
Breza,Cal,Cal,,,
Breza,Cal Baptist,Cal Baptist,,,
Breza,Cal Baptist University,Cal Baptist University,,,
Breza,Cal Poly,Cal Poly,,,
Breza,Cal Poly Pomona,Cal Poly Pomona,,,
Breza,Cal State - Monterey Bay,Cal State - Monterey Bay,,,
Breza,Cal State Bakersfield,Cal State Bakersfield,,,
Breza,Cal State Chico,Cal State Chico,,,
Breza,Cal State Dominguez Hills,Cal State Dominguez Hills,,,
Breza,Cal State East Bay,Cal State East Bay,,,
Breza,Cal State Fullerton,Cal State Fullerton,,,
Breza,Cal State Hayward,Cal State Hayward,,,
Breza,Cal State LA,Cal State LA,,,
Breza,Cal State Los Angeles,Cal State Los Angeles,,,
Breza,Cal State Monterey Bay,Cal State Monterey Bay,,,
Breza,Cal State Northridge,Cal State Northridge,,,
Breza,Cal State San Bernardino,Cal State San Bernardino,,,
Breza,Cal State San Marcos,Cal State San Marcos,,,
Breza,Cal State Stanislaus,Cal State Stanislaus,,,
Breza,Cal State University San Bernardino,Cal State University San Bernardino,,,
Breza,Cal State-Dominguez Hills,Cal State-Dominguez Hills,,,
Breza,Caldwell College,Caldwell College,,,
Breza,Caldwell University,Caldwell University,,,
Breza,California,California,,,
Breza,California Baptist,California Baptist,,,
Breza,California State Bakersfield,California State Bakersfield,,,
Breza,California State Fullerton,California State Fullerton,,,
Breza,California State University Maritime Academy,California State University Maritime Academy,,,
Breza,"California State University, Northridge","California State University, Northridge",,,
Cherry,Caltech,Caltech,x,,
Cherry,Calvary Christian,Calvary Christian,x,,
Cherry,Cameron University,Cameron University,x,,
Cherry,Campbell,Campbell,x,,
Cherry,Campbell University,Campbell,x,,
Cherry,Canada,Canada,x,,
Cherry,Canisius,Canisius,x,,
Cherry,Canisius College,Canisius,x,,
Cherry,Cape Fear Community College,Cape Fear CC,x,,
Cherry,Carnegie Mellon,Carnegie Mellon,x,,
Cherry,Carolina Panthers,Carolina Panthers,x,Y,nfl team
Cherry,Carolina University,Carolina University,x,,
Cherry,Carson-Newman,Carson-Newman,x,,
Cherry,Carson-Newman College,Carson-Newman,x,,
Cherry,Case Western Reserve University,Case Western Reserve,x,,
Cherry,Casper Community College,Casper CC,x,,
Cherry,Catawba College,Catawba College,x,,
Cherry,Cazenovia College,Cazenovia College,x,,
Cherry,Cedarville,Cedarville,x,,
Cherry,Centenary,Centenary,x,,
Cherry,Centenary College,Centenary,x,,
Cherry,Centenary College of Louisiana,Centenary,x,,
Cherry,Central Arizona College,Central Arizona College,x,,
Cherry,Central Arkansas,Central Arkansas,x,,
Cherry,Central Connecticut,Central Connecticut,x,,
Cherry,Central Connecticut State,Central Connecticut,x,,
Cherry,Central Connecticut State University,Central Connecticut,x,,
Cherry,Central Florida,Central Florida,x,,
Cherry,Central Methodist,Central Methodist,x,,
Cherry,Central Methodist University,Central Methodist,x,,
Cherry,Central Michigan,Central Michigan,x,,
Cherry,Central Michigan University,Central Michigan,x,,
Cherry,Central Missouri,Central Missouri,x,,
Cherry,Central Washington,Central Washington,x,,
Cherry,Central Washington University,Central Washington,x,,
Cherry,Chaffey CC,Chaffey CC,x,,
Cherry,Chandler Gilbert Community College,Chandler Gilbert CC,x,,
Cherry,Chandler-Gilbert Community College,Chandler Gilbert CC,x,,
Cherry,Charleston Southern,Charleston Southern,x,,
Cherry,Charleston Southern University,Charleston Southern,x,,
Cherry,Charlotte,Charlotte,x,,
Cherry,Charlotte Hornets,Charlotte Hornets,x,Y,nba team
Cherry,Chatham University,Chatham University,x,,
Cherry,Chattahoochee Valley Community College,Chattahoochee Valley CC,x,,
Cherry,Chattanooga,Chattanooga,x,,
Cherry,Chesapeake,Chesapeake,x,,
Cherry,Chesapeake College,Chesapeake,x,,
Cherry,Chestnut Hill,Chestnut Hill,x,,
Cherry,Chestnut Hill College,Chestnut Hill,x,,
Cherry,Cheyney,Cheyney,x,,
Cherry,Cheyney University of Pennsylvania,Cheyney,x,,
Cherry,Chicago Bulls,Chicago Bulls,x,Y,nba tem
Cherry,Chicago Sky,Chicago Sky,x,Y,wnba team
Cherry,Chicago State,Chicago State,x,,
Cherry,Chicago White Sox,Chicago White Sox,x,Y,mlb team
Cherry,Chico State,Chico State,x,,
Cherry,Chipola College,Chipola College,x,,
Cherry,Chowan,Chowan,x,,
Cherry,Christian Brothers,Christian Brothers,x,,
Cherry,Christian Brothers University,Christian Brothers,x,,
Cherry,Christopher Newport,Christopher Newport,x,,
Cherry,Cincinnati,Cincinnati,x,,
Cherry,Cisco College,Cisco JC,x,,
Cherry,Cisco Junior College,Cisco JC,x,,
Cherry,City College of New York,City College of New York,x,,
Cherry,Clackamas Community College,Clackamas CC,x,,
Cherry,Claflin,Claflin,x,,
Cherry,Claflin University,Claflin,x,,
Cherry,Claredon College,Claredon,x,,
Cherry,Claremont-Mudd-Scripps,Claremont-Mudd-Scripps,x,,
Cherry,Clarendon College,Claredon,x,,
Cherry,Clarion,Clarion,x,,
Cherry,Clark College,Clark CC,x,,
Cherry,Clarke,Clarke,x,,
Cherry,Clarke University,Clarke,x,,
Cherry,Clarkson University,Clarkson,x,,
Cherry,Clayton State University,Clayton,x,,
Cherry,Cleary University,Cleary,x,,
Cherry,Clemson,Clemson,x,,
Cherry,Clemson University,Clemson,x,,
Cherry,Cleveland Cavaliers,Cleveland Cavaliers,x,Y,nba team
Cherry,Cleveland Rockers,Cleveland Rockers,x,Y,wnba team
Cherry,Cleveland State,Cleveland State CC,x,,
Cherry,Cleveland State Community College,Cleveland State CC,x,,
Cherry,Cleveland State University,Cleveland State,x,,
Cherry,Clinton College,Clinton College,x,,
Cherry,Clinton Prairie,Clinton Prairie,x,Y,high school
Cherry,Coahoma CC,Coahoma CC,x,,
Cherry,Coastal Carolina,Coastal Carolina,x,,
Cherry,Cochise College,Cochise College,x,,
Cherry,Coe College,Coe College,x,,
Cherry,Coker,Coker,x,,
Cherry,Coker University,Coker,x,,
Cherry,Colby College,Colby College,x,,
Cherry,Colby Community College,Colby CC,x,,
Cherry,Colby-Sawyer College,Colby-Sawyer College,x,,
Cherry,Colgate,Colgate,x,,
Cherry,College of Charleston,Charleston,x,,
Cherry,College of Coastal Georgia,Coastal Georgia,x,,
Cherry,College of Idaho,College of Idaho,x,,
Cherry,College of New Rochelle,New Rochelle,x,,
Cherry,College of Saint Mary,St. Mary,x,,
Cherry,College of Southern Idaho,Southern Idaho,x,,
Cherry,College of St. Mary,St. Mary,x,,
Cherry,College of William & Mary,William & Mary,x,,
Cherry,College of the Holy Cross,Holy Cross,x,,
Cherry,College of the Redwoods,Rredwoods CC,x,,
Cherry,Colorado,Colorado,x,,
Cherry,Colorado College,Colorado College,x,,
Cherry,Colorado State,Colorado State,x,,
Cherry,Colorado State-Pueblo,Colorado State,x,,
Cherry,Colorado-Colorado Springs,Colorado,x,,
Cherry,Columbia,Columbia,x,,
Cherry,Columbia College,Columbia College,x,,
Cherry,Columbia College (MO),Columbia College (MO),x,,
Cherry,Columbia University,Columbia,x,,
Cherry,Columbus State,Columbus State,x,,
Cherry,Columbus State University,Columbus State,x,,
Cherry,"Community College of Baltimore County, Essex",CC Baltimore County,x,,
Cherry,Community College of Philadelphia,CC Philadelphis,x,,
Cherry,Community College of Rhode Island,CC Rhode Island,x,,
Cherry,Concordia,Concordia,x,,
Cherry,Concordia (Mich.),Concordia (MI),x,,
Cherry,Concordia University,Concordia,x,,
Cherry,Concordia-St. Paul,Concordia,x,,
Cherry,Connecticut,Connecticut,x,,
Cherry,Connecticut College,Connecticut College,x,,
Cherry,Connecticut Sun,Connecticut Sun,x,Y,wnba
Cherry,Connors State College,Connors,x,,
Cherry,Converse College,Converse,x,,
Cherry,Converse University,Converse,x,,
Cherry,Copiah-Lincoln Community College,Copiah-Lincoln CC,x,,
Cherry,Coppin State,Coppin State,x,,
Cherry,Coppin State University,Coppin State,x,,
Cherry,Cornell,Cornell,x,,
Cherry,Cornell University,Cornell,x,,
Cherry,Cornerstone University,Cornerstone,x,,
Cherry,Coventry University,Coventry,x,,
Cherry,Creighton,Creighton,x,,
Cherry,Creighton University,Creighton,x,,
Cherry,Crown,Crown,x,,
Cherry,Culver-Stockton College,Culver-Stockton College,x,,
Cherry,Cuyahoga Community College,Cuyahoga CC,x,,
Cherry,D'Youville,D'Youville,x,,
Cherry,Daemen College,Daemen,x,,
Cherry,Daemen University,Daemen,x,,
Cherry,Dakota Wesleyan,Dakota Wesleyan,x,,
Cherry,Dallas Mavericks,Dallas Mavericks,x,Y,nba
Cherry,Dallas Wings,Dallas Wings,x,Y,wnba
Cherry,Danville Area Community College,Danville Area CC,x,,
Cherry,Dartmouth,Dartmouth,x,,
Cherry,Dartmouth College,Dartmouth,x,,
Cherry,Davenport University,Davenport,x,,
Cherry,Davidson,Davidson,x,,
Cherry,Davidson College,Davidson,x,,
Cherry,Dayton,Dayton,x,,
Cherry,Daytona State,Dayton,x,,
Cherry,Daytona State College,Dayton,x,,
Cherry,DePaul,DePaul,x,,
Cherry,Dean College,Dean,x,,
Cherry,Defiance College,Defiance,x,,
Cherry,Delaware,Delaware,x,,
Cherry,Delaware State,Delaware State,x,,
Cherry,Delta State,Delta State,x,,
Cherry,Delta State University,Delta State,x,,
Cherry,Denver,Denver,x,,
Cherry,Denver Nuggets,Denver Nuggets,x,Y,nba
Cherry,Detroit,Detroit,x,,
Cherry,Detroit Mercy,Detroit Mercy,x,,
Cherry,Detroit Pistons,Detroit Pistons,x,Y,nba
Cherry,Diablo Valley College,Diablo Valley CC,x,,
Cherry,Dickinson College,Dickinson,x,,
Cherry,Dillard University,Dillard,x,,
Cherry,Dixie State,Dixie State,x,,
Cherry,Doane University,Doane,x,,
Cherry,Dodge City Community College,Dodge City CC,x,,
Cherry,Dominican University,Dominican,x,,
Cherry,Dominican University of California,Dominican,x,,
Cherry,Drake,Drake,x,,
Cherry,Drake University,Drake,x,,
Cherry,Drexel,Drexel,x,,
Cherry,Drexel University,Drexel,x,,
Cherry,Drury,Drury,x,,
Cherry,Drury University,Drury,x,,
Cherry,Dubuque,Dubuque,x,,
Cherry,Duke,Duke,x,,
Cherry,Duquesne,Duquesne,x,,
Cherry,Durham,Durham,x,,
Cohen,ETSU,ETSU,x,,
Cohen,East Carolina,East Carolina,x,,
Cohen,East Carolina University,East Carolina,x,,
Cohen,East Central,East Central CC,x,,
Cohen,East Central Community College,East Central CC,x,,
Cohen,East Georgia State College,East Georgia State College,x,,
Cohen,East Mississippi CC,East Mississippi CC,x,,
Cohen,East Mississippi Community College,East Mississippi CC,x,,
Cohen,East Stroudsburg,East Stroudsburg,x,,
Cohen,East Stroudsburg University,East Stroudsburg,x,,
