season,season_name,sport_id,team_id,team_conference_name,school_id,school_name,ncaa_division,ncaa_division_formatted,player_id,player_jersey_number,player_last_name,player_first_name,player_full_name,player_class,player_position,player_height,GP,GS,sets_played,MS,kills,errors,total_attacks,hit%,assists,aces,serve_errors,digs,return_attacks,return_errors,solo_blocks,assisted_blocks,block_errors,total_blocks,points,BHE,serve_attempts,DBL_DBL,TRP_DBL,source_file
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8432707,10,Lang,Kate,Kate Lang,Sr,S,5-10,31,31,125,0.0,70,13,195,0.292,1314,23,42,323,10,2,3,29,13,0.0,110.5,1,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8435395,5,Bamis,Jacyn,Jacyn Bamis,Jr,MB,6-1,30,28,117,0.0,262,96,596,0.279,7,16,30,46,15,2,15,67,9,0.0,326.5,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8443371,16,Ikenaga,Tayli,Tayli Ikenaga,Sr,L,5-5,31,0,125,0.0,1,2,10,-0.1,140,12,17,502,454,19,0,0,0,0.0,13.0,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8442991,4,Matias,Jackie,Jackie Matias,So,S,5-9,30,1,88,0.0,5,2,13,0.231,53,9,16,39,0,0,0,0,0,0.0,14.0,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8434979,17,Alexander,Caylen,Caylen Alexander,Jr,OH,6-0,30,29,120,0.0,611,242,1427,0.259,22,30,57,292,520,41,14,43,17,0.0,676.5,2,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8970131,6,Monahan,Morghn,Morghn Monahan,Jr,MB,6-3,1,0,1,0.0,0,1,2,-0.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8434300,9,Hakas,Tali,Tali Hakas,So,OH,5-11,31,31,125,0.0,259,109,768,0.195,30,26,20,364,471,37,6,56,13,0.0,319.0,1,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8432389,14,Mane,Tyla Reese,Tyla Reese Mane,Jr,OH,6-1,14,0,22,0.0,7,5,26,0.077,1,0,0,3,0,0,0,1,0,0.0,7.5,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8970126,2,Leyva,Victoria,Victoria Leyva,Fr,L/DS,5-8,31,26,125,0.0,2,0,3,0.667,33,24,34,250,464,26,0,0,0,0.0,26.0,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8970127,3,Arquette,Adrianna,Adrianna Arquette,Fr,S,5-10,14,2,31,0.0,15,12,50,0.06,12,2,10,31,6,0,0,4,3,0.0,19.0,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8970128,12,Sylvester,Miliana,Miliana Sylvester,Fr,MB,6-1,31,31,125,0.0,231,72,535,0.297,3,0,5,52,12,1,12,79,10,0.0,282.5,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8970130,19,Way,Maddie,Maddie Way,Fr,MB,5-11,8,2,14,0.0,22,4,41,0.439,0,1,2,0,3,0,1,4,1,0.0,26.0,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8433517,1,Adeyemi,Stella,Stella Adeyemi,So,OH,5-11,31,5,120,0.0,250,113,732,0.187,6,0,1,93,341,22,3,17,2,0.0,261.5,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8873591,14,Bartalo,Gianna,Gianna Bartalo,Sr,L/DS,5-7,32,0,114,0.0,1,3,9,-0.222,106,22,27,468,617,44,0,0,0,0.0,23.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8436701,17,Maeder,Annalea,Annalea Maeder,Sr,S,6-1,5,5,17,0.0,14,3,30,0.367,175,7,5,55,1,0,0,14,2,0.0,28.0,2,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8441875,9,Hamm,Ellie,Ellie Hamm,Sr,MB,6-4,15,10,44,0.0,48,23,150,0.167,3,0,1,15,10,3,5,35,2,0.0,70.5,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8438992,22,Mehrten,Ava,Ava Mehrten,Jr,OPP,6-1,19,8,47,0.0,46,21,157,0.159,1,0,0,26,0,0,0,30,1,0.0,61.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8431834,4,Morningstar,Paige,Paige Morningstar,Jr,S,6-0,2,0,3,0.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8435820,7,Hayden,Mikayla,Mikayla Hayden,Jr,MB,6-1,23,23,81,0.0,172,49,380,0.324,5,0,1,19,13,2,10,53,2,0.0,208.5,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8429463,12,Lau,Natalie,Natalie Lau,Jr,S,6-0,28,27,98,0.0,29,16,116,0.112,942,15,25,247,5,0,3,33,4,0.0,63.5,2,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8440447,55,DeJardin,Peyton,Peyton DeJardin,Jr,OH,6-1,32,32,114,0.0,305,144,1078,0.149,20,26,34,263,515,50,3,34,3,0.0,351.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8439374,18,Li,Ashley,Ashley Li,So,OH,6-3,20,0,35,0.0,25,24,84,0.012,0,0,0,10,9,5,0,6,0,0.0,28.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8439236,2,Johnson,Sophia,Sophia Johnson,So,L/DS,5-9,32,6,114,0.0,1,0,2,0.5,20,23,18,282,327,15,0,0,0,0.0,24.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8436404,3,Li,Maggie,Maggie Li,So,OH,6-3,32,32,114,0.0,463,205,1228,0.21,18,27,36,241,683,44,2,40,7,0.0,512.0,1,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8433513,15,Thomsen,Sawyer,Sawyer Thomsen,So,MB,6-3,31,31,106,0.0,141,44,404,0.24,15,18,19,67,15,0,9,102,10,0.0,219.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8873669,10,Mansfield,Kate,Kate Mansfield,Fr,MB,6-2,26,18,80,0.0,143,82,355,0.172,2,0,0,38,4,0,3,48,8,0.0,170.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8873230,21,Foote,Addison,Addison Foote,Sr,OH,6-0,23,19,88,0.0,199,98,646,0.156,11,1,8,60,173,11,9,15,2,0.0,216.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8432592,22,Perry,Mara,Mara Perry,Sr,L/DS,5-8,26,3,98,0.0,15,5,66,0.152,189,21,38,345,323,16,0,1,0,0.0,36.5,2,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8442607,8,Harris,Jayda,Jayda Harris,Sr,MB,6-3,22,21,81,0.0,91,38,246,0.215,3,23,56,20,10,0,7,41,5,0.0,141.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8440951,6,Purichia,Anna,Anna Purichia,Jr,OH,5-10,24,18,80,0.0,158,110,509,0.094,10,0,2,26,36,5,4,17,8,0.0,170.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8873204,5,Poehner,Addie,Addie Poehner,Jr,L/DS,5-4,19,0,44,0.0,0,1,1,-1.0,4,4,5,27,81,9,0,0,0,0.0,4.0,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8873190,3,Smith,Erika,Erika Smith,So,MB,5-11,26,26,98,0.0,186,58,432,0.296,6,0,0,34,11,0,16,35,8,0.0,219.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8443275,12,VanHoy,Kylie,Kylie VanHoy,Jr,OPP,5-10,25,24,91,0.0,103,50,332,0.16,813,21,50,197,8,2,5,18,13,0.0,138.0,4,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8437611,19,Nauert,Tessa,Tessa Nauert,Jr,L/DS,5-4,26,2,96,0.0,3,2,15,0.067,29,25,32,201,406,32,0,0,0,0.0,28.0,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8431569,2,Bland,Natalie,Natalie Bland,So,OH,5-10,26,26,95,0.0,370,205,1018,0.162,18,15,37,214,465,21,5,15,4,0.0,397.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8434198,9,Hagan,Maddie,Maddie Hagan,So,RS,6-1,12,11,42,0.0,118,33,279,0.305,1,0,3,21,1,0,3,17,0,0.0,129.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8435246,23,Schmidt,Jess,Jess Schmidt,So,MB,6-5,6,2,15,0.0,6,8,24,-0.083,0,0,0,3,0,0,1,3,0,0.0,8.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8873263,4,Parsons,Payton,Payton Parsons,Fr,L/DS,5-4,26,4,96,0.0,4,1,20,0.15,51,17,41,280,538,22,0,0,0,0.0,21.0,0,0,0,0,2024_52_player_season_stats.csv
