Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
1,Abilene Christian,30,15,15,0.5,-1.54,-3.87,9,9,11,3,3,10,2134,1948,1205,784,1784,0.439,246,761,0.323,320,462,0.693,364,1099,426,235,85,452,499,2022-2023
2,Air Force,31,13,18,0.419,-1.04,1.2,8,10,9,5,4,9,1972,2017,1240,734,1841,0.399,156,508,0.307,348,483,0.72,297,947,371,338,59,419,529,2022-2023
3,Akron,30,17,13,0.567,-3.17,-2.38,8,10,11,5,5,7,2057,1998,1205,724,1686,0.429,185,618,0.299,424,550,0.771,243,1103,470,225,123,466,394,2022-2023
4,Alabama,31,20,11,0.645,21.37,11.72,9,7,11,4,8,4,2170,1871,1240,778,1765,0.441,281,728,0.386,333,461,0.722,334,1095,416,274,126,482,533,2022-2023
5,Alabama A&M,29,14,15,0.483,-16.06,-11.54,12,6,9,2,5,12,1647,1778,1170,573,1623,0.353,125,476,0.263,376,534,0.704,350,1108,276,175,85,502,433,2022-2023
6,Alabama State,31,16,15,0.516,-15.39,-7.89,12,6,10,1,5,13,1963,2177,1260,685,1704,0.402,140,484,0.289,453,630,0.719,347,1066,363,225,107,583,549,2022-2023
7,Albany (NY),34,22,12,0.647,-5.83,-8.98,14,2,11,2,11,8,1976,1869,1365,727,1764,0.412,187,567,0.33,335,462,0.725,339,1190,391,205,97,499,464,2022-2023
8,Alcorn State,29,12,17,0.414,-15.98,-10.21,8,10,8,5,4,12,1859,1926,1165,668,1777,0.376,143,495,0.289,380,618,0.615,363,1065,400,250,120,516,626,2022-2023
9,American,31,9,22,0.29,-14.79,-5.88,7,11,5,9,4,11,1805,2081,1249,687,1719,0.4,119,447,0.266,312,428,0.729,269,994,406,248,51,575,604,2022-2023
10,Appalachian State,31,11,20,0.355,-7.79,-2.69,6,12,8,6,2,13,2081,2140,1250,732,1892,0.387,233,770,0.303,384,582,0.66,356,1120,365,272,62,486,590,2022-2023
11,Arizona,32,22,10,0.688,23.87,14.9,11,7,12,3,7,6,2370,2083,1295,895,2045,0.438,173,521,0.332,407,597,0.682,387,1167,469,339,99,399,599,2022-2023
12,Arizona State,28,8,20,0.286,6.7,15.38,1,15,3,11,4,7,1829,2072,1130,645,1806,0.357,143,501,0.285,396,540,0.733,368,1055,279,195,90,344,500,2022-2023
13,Arkansas,37,24,13,0.649,19.77,13.2,7,9,14,4,6,6,2672,2429,1490,893,2238,0.399,305,1007,0.303,581,861,0.675,375,1408,487,245,161,496,625,2022-2023
14,Arkansas State,32,13,19,0.406,-9.29,-5.74,6,12,7,7,4,11,2222,2287,1295,795,2076,0.383,206,667,0.309,426,571,0.746,426,1264,396,267,76,494,599,2022-2023
15,Arkansas-Pine Bluff,31,14,17,0.452,-13.14,-9.64,10,8,8,4,4,9,1999,2065,1247,712,1781,0.4,110,420,0.262,465,776,0.599,423,1243,397,258,123,600,680,2022-2023
16,Army,30,13,17,0.433,-13.96,-9.2,10,8,6,7,7,10,1827,1941,1210,663,1746,0.38,200,684,0.292,301,452,0.666,362,1081,323,179,68,469,544,2022-2023
17,Auburn,31,16,15,0.516,12.89,12.15,5,11,14,5,1,8,2065,2042,1245,767,1917,0.4,135,445,0.303,396,587,0.675,367,1082,381,308,146,491,610,2022-2023
