game_date_original,opponent_original,result_original,fouls,goals,assists,points,shots,shots_on_goal,ground_balls,turnovers,caused_turnovers,free_position_shots,free_position_goals,red_cards,yellow_cards,green_cards,draw_controls,school_id,team_name,season,ncaa_division,ncaa_division_formatted,sport_id,game_date,team_score,opponent_score,game_outcome,full_result,overtime,opponent_clean,is_away_game,team_id
02/08/2025,Duquesne,11-12 (1),17.0,11.0,5.0,16.0,29.0,20.0,13.0,13.0,8.0,7.0,3.0,,3.0,1.0,13.0,5,Akron,2025,1,1,WLA,2025-02-08,11.0,12.0,L,11-12 (1),1.0,Duquesne,False,594043
02/11/2025,Saint Francis,11-4,16.0,11.0,8.0,19.0,35.0,25.0,22.0,10.0,7.0,3.0,,,,2.0,11.0,5,Akron,2025,1,1,WLA,2025-02-11,11.0,4.0,W,11-4,,Saint Francis,False,594043
02/15/2025,Xavier,15-6,9.0,15.0,11.0,26.0,34.0,23.0,27.0,21.0,9.0,6.0,1.0,,3.0,5.0,14.0,5,Akron,2025,1,1,WLA,2025-02-15,15.0,6.0,W,15-6,,Xavier,False,594043
02/22/2025,Presbyterian,16-4,9.0,16.0,10.0,26.0,30.0,23.0,14.0,11.0,10.0,6.0,2.0,,2.0,2.0,16.0,5,Akron,2025,1,1,WLA,2025-02-22,16.0,4.0,W,16-4,,Presbyterian,False,594043
02/26/2025,@ Ohio St.,4-13,15.0,4.0,2.0,6.0,19.0,12.0,18.0,16.0,6.0,5.0,1.0,,3.0,1.0,12.0,5,Akron,2025,1,1,WLA,2025-02-26,4.0,13.0,L,4-13,,Ohio St.,True,594043
03/02/2025,Butler,11-5,10.0,11.0,8.0,19.0,27.0,20.0,22.0,12.0,10.0,2.0,1.0,,2.0,1.0,12.0,5,Akron,2025,1,1,WLA,2025-03-02,11.0,5.0,W,11-5,,Butler,False,594043
03/08/2025,@ Lindenwood,12-18,12.0,12.0,4.0,16.0,24.0,18.0,13.0,10.0,9.0,3.0,1.0,,2.0,6.0,9.0,5,Akron,2025,1,1,WLA,2025-03-08,12.0,18.0,L,12-18,,Lindenwood,True,594043
03/12/2025,@ Rider,12-16,8.0,12.0,4.0,16.0,25.0,18.0,21.0,17.0,12.0,2.0,2.0,,5.0,2.0,9.0,5,Akron,2025,1,1,WLA,2025-03-12,12.0,16.0,L,12-16,,Rider,True,594043
03/16/2025,@ Youngstown St.,14-13,15.0,14.0,3.0,17.0,33.0,25.0,11.0,13.0,5.0,6.0,2.0,,3.0,,20.0,5,Akron,2025,1,1,WLA,2025-03-16,14.0,13.0,W,14-13,,Youngstown St.,True,594043
03/19/2025,@ Radford,18-10,18.0,18.0,10.0,28.0,40.0,34.0,15.0,12.0,8.0,1.0,1.0,,1.0,1.0,18.0,5,Akron,2025,1,1,WLA,2025-03-19,18.0,10.0,W,18-10,,Radford,True,594043
03/23/2025,Central Mich.,9-7,8.0,9.0,5.0,14.0,24.0,21.0,24.0,16.0,8.0,,,,1.0,,12.0,5,Akron,2025,1,1,WLA,2025-03-23,9.0,7.0,W,9-7,,Central Mich.,False,594043
03/30/2025,@ Detroit Mercy,8-10,17.0,8.0,2.0,10.0,21.0,17.0,18.0,15.0,6.0,6.0,2.0,,1.0,4.0,9.0,5,Akron,2025,1,1,WLA,2025-03-30,8.0,10.0,L,8-10,,Detroit Mercy,True,594043
04/06/2025,Kent St.,14-9,12.0,14.0,9.0,23.0,33.0,25.0,22.0,12.0,11.0,7.0,3.0,,,2.0,11.0,5,Akron,2025,1,1,WLA,2025-04-06,14.0,9.0,W,14-9,,Kent St.,False,594043
04/11/2025,@ UMBC,8-22,21.0,8.0,4.0,12.0,25.0,19.0,13.0,15.0,1.0,1.0,,,2.0,3.0,16.0,5,Akron,2025,1,1,WLA,2025-04-11,8.0,22.0,L,8-22,,UMBC,True,594043
04/20/2025,@ Eastern Mich.,12-16,20.0,12.0,7.0,19.0,21.0,21.0,13.0,15.0,7.0,2.0,2.0,,2.0,4.0,18.0,5,Akron,2025,1,1,WLA,2025-04-20,12.0,16.0,L,12-16,,Eastern Mich.,True,594043
04/27/2025,Robert Morris,14-12,10.0,14.0,7.0,21.0,32.0,22.0,21.0,16.0,5.0,3.0,,,,,16.0,5,Akron,2025,1,1,WLA,2025-04-27,14.0,12.0,W,14-12,,Robert Morris,False,594043
05/01/2025,"Eastern Mich. @ Moon Township, Pa.",16-4,16.0,16.0,6.0,22.0,29.0,25.0,19.0,8.0,8.0,5.0,4.0,,,,8.0,5,Akron,2025,1,1,WLA,2025-05-01,16.0,4.0,W,16-4,,Eastern Mich.,True,594043
05/03/2025,"Robert Morris @ Moon Township, Pa",11-10 (1),13.0,11.0,4.0,15.0,27.0,19.0,14.0,15.0,8.0,4.0,2.0,,2.0,3.0,13.0,5,Akron,2025,1,1,WLA,2025-05-03,11.0,10.0,W,11-10 (1),1.0,Robert Morris,True,594043
05/09/2025,"Michigan @ Evanston, Ill.",6-17,13.0,6.0,3.0,9.0,21.0,14.0,13.0,13.0,3.0,1.0,,,1.0,,10.0,5,Akron,2025,1,1,WLA,2025-05-09,6.0,17.0,L,6-17,,Michigan,True,594043
02/07/2025,@ Georgetown,5-12,2.0,5.0,5.0,10.0,22.0,13.0,7.0,19.0,6.0,3.0,,,2.0,1.0,11.0,23,American,2025,1,1,WLA,2025-02-07,5.0,12.0,L,5-12,,Georgetown,True,593883
02/11/2025,Howard,18-7,11.0,18.0,14.0,32.0,41.0,31.0,9.0,8.0,6.0,8.0,3.0,,1.0,,14.0,23,American,2025,1,1,WLA,2025-02-11,18.0,7.0,W,18-7,,Howard,False,593883
02/15/2025,@ Loyola Maryland,4-17,10.0,4.0,2.0,6.0,14.0,11.0,10.0,16.0,3.0,3.0,1.0,,2.0,1.0,6.0,23,American,2025,1,1,WLA,2025-02-15,4.0,17.0,L,4-17,,Loyola Maryland,True,593883
02/19/2025,@ George Mason,18-9,8.0,18.0,8.0,26.0,37.0,27.0,15.0,8.0,18.0,6.0,5.0,,,,14.0,23,American,2025,1,1,WLA,2025-02-19,18.0,9.0,W,18-9,,George Mason,True,593883
02/22/2025,@ UMBC,10-13,8.0,10.0,3.0,13.0,24.0,18.0,15.0,12.0,5.0,3.0,1.0,,,1.0,10.0,23,American,2025,1,1,WLA,2025-02-22,10.0,13.0,L,10-13,,UMBC,True,593883
02/26/2025,George Washington,13-7,7.0,13.0,7.0,20.0,27.0,19.0,10.0,8.0,9.0,4.0,2.0,,1.0,,9.0,23,American,2025,1,1,WLA,2025-02-26,13.0,7.0,W,13-7,,George Washington,False,593883
03/08/2025,@ Liberty,13-22,21.0,13.0,9.0,22.0,24.0,18.0,19.0,26.0,10.0,2.0,,,2.0,1.0,18.0,23,American,2025,1,1,WLA,2025-03-08,13.0,22.0,L,13-22,,Liberty,True,593883
03/11/2025,@ Charlotte,15-14 (1),5.0,15.0,7.0,22.0,28.0,21.0,16.0,19.0,13.0,1.0,1.0,,,,18.0,23,American,2025,1,1,WLA,2025-03-11,15.0,14.0,W,15-14 (1),1.0,Charlotte,True,593883
03/15/2025,Lehigh,17-10,14.0,17.0,8.0,25.0,31.0,23.0,12.0,7.0,12.0,5.0,1.0,,3.0,1.0,13.0,23,American,2025,1,1,WLA,2025-03-15,17.0,10.0,W,17-10,,Lehigh,False,593883
03/22/2025,@ Holy Cross,3-20,14.0,3.0,2.0,5.0,18.0,11.0,12.0,21.0,6.0,1.0,,,,2.0,9.0,23,American,2025,1,1,WLA,2025-03-22,3.0,20.0,L,3-20,,Holy Cross,True,593883
03/26/2025,Lafayette,8-10,8.0,8.0,5.0,13.0,24.0,15.0,11.0,14.0,8.0,5.0,2.0,,1.0,2.0,10.0,23,American,2025,1,1,WLA,2025-03-26,8.0,10.0,L,8-10,,Lafayette,False,593883
03/29/2025,@ Colgate,11-17,10.0,11.0,4.0,15.0,24.0,17.0,13.0,12.0,6.0,1.0,1.0,,2.0,1.0,9.0,23,American,2025,1,1,WLA,2025-03-29,11.0,17.0,L,11-17,,Colgate,True,593883
04/05/2025,Army West Point,13-16,13.0,13.0,5.0,18.0,25.0,19.0,14.0,9.0,9.0,5.0,3.0,,2.0,2.0,9.0,23,American,2025,1,1,WLA,2025-04-05,13.0,16.0,L,13-16,,Army West Point,False,593883
04/11/2025,@ Bucknell,9-11,9.0,9.0,6.0,15.0,15.0,13.0,15.0,20.0,11.0,4.0,3.0,,,1.0,11.0,23,American,2025,1,1,WLA,2025-04-11,9.0,11.0,L,9-11,,Bucknell,True,593883
04/19/2025,Boston U.,5-12,12.0,5.0,2.0,7.0,16.0,11.0,15.0,26.0,13.0,6.0,,,2.0,1.0,7.0,23,American,2025,1,1,WLA,2025-04-19,5.0,12.0,L,5-12,,Boston U.,False,593883
04/24/2025,Navy,5-17,6.0,5.0,4.0,9.0,13.0,11.0,12.0,22.0,9.0,3.0,1.0,,,,6.0,23,American,2025,1,1,WLA,2025-04-24,5.0,17.0,L,5-17,,Navy,False,593883
02/09/2025,@ Niagara,15-9,16.0,15.0,11.0,26.0,32.0,21.0,15.0,21.0,6.0,5.0,2.0,,1.0,3.0,19.0,28,Arizona St.,2025,1,1,WLA,2025-02-09,15.0,9.0,W,15-9,,Niagara,True,593881
02/12/2025,@ Pittsburgh,14-11,18.0,14.0,9.0,23.0,30.0,22.0,17.0,19.0,9.0,6.0,3.0,,2.0,3.0,13.0,28,Arizona St.,2025,1,1,WLA,2025-02-12,14.0,11.0,W,14-11,,Pittsburgh,True,593881
02/15/2025,Detroit Mercy,21-1,4.0,21.0,7.0,28.0,40.0,36.0,19.0,6.0,6.0,8.0,5.0,,2.0,1.0,20.0,28,Arizona St.,2025,1,1,WLA,2025-02-15,21.0,1.0,W,21-1,,Detroit Mercy,False,593881
02/21/2025,"Denver @ San Diego, Calif.",12-21,30.0,12.0,5.0,17.0,27.0,20.0,15.0,15.0,2.0,13.0,4.0,,,,12.0,28,Arizona St.,2025,1,1,WLA,2025-02-21,12.0,21.0,L,12-21,,Denver,True,593881
02/24/2025,@ Southern California,14-16,24.0,14.0,10.0,24.0,35.0,21.0,6.0,13.0,4.0,10.0,4.0,,3.0,1.0,20.0,28,Arizona St.,2025,1,1,WLA,2025-02-24,14.0,16.0,L,14-16,,Southern California,True,593881
03/01/2025,Saint Joseph's,13-12,17.0,13.0,2.0,15.0,33.0,25.0,7.0,12.0,4.0,13.0,5.0,,3.0,2.0,20.0,28,Arizona St.,2025,1,1,WLA,2025-03-01,13.0,12.0,W,13-12,,Saint Joseph's,False,593881
03/04/2025,Mercer,16-10,18.0,16.0,9.0,25.0,37.0,26.0,22.0,14.0,10.0,6.0,1.0,,,,16.0,28,Arizona St.,2025,1,1,WLA,2025-03-04,16.0,10.0,W,16-10,,Mercer,False,593881
03/08/2025,Vanderbilt,16-15,22.0,16.0,5.0,21.0,31.0,26.0,13.0,11.0,4.0,7.0,2.0,,2.0,3.0,24.0,28,Arizona St.,2025,1,1,WLA,2025-03-08,16.0,15.0,W,16-15,,Vanderbilt,False,593881
03/15/2025,Furman,18-11,9.0,18.0,8.0,26.0,29.0,24.0,18.0,15.0,10.0,7.0,4.0,,1.0,1.0,21.0,28,Arizona St.,2025,1,1,WLA,2025-03-15,18.0,11.0,W,18-11,,Furman,False,593881
03/21/2025,"Dartmouth @ Houston, TX",10-20,25.0,10.0,3.0,13.0,35.0,22.0,21.0,9.0,9.0,12.0,3.0,,1.0,2.0,11.0,28,Arizona St.,2025,1,1,WLA,2025-03-21,10.0,20.0,L,10-20,,Dartmouth,True,593881
03/25/2025,@ Marquette,17-18 (1),17.0,17.0,9.0,26.0,29.0,24.0,11.0,14.0,5.0,4.0,1.0,,2.0,,24.0,28,Arizona St.,2025,1,1,WLA,2025-03-25,17.0,18.0,L,17-18 (1),1.0,Marquette,True,593881
03/29/2025,Cincinnati,14-12,23.0,14.0,7.0,21.0,33.0,24.0,17.0,18.0,7.0,11.0,3.0,,1.0,2.0,20.0,28,Arizona St.,2025,1,1,WLA,2025-03-29,14.0,12.0,W,14-12,,Cincinnati,False,593881
04/03/2025,Maryland,14-18,19.0,14.0,4.0,18.0,34.0,24.0,11.0,8.0,3.0,14.0,6.0,,5.0,3.0,21.0,28,Arizona St.,2025,1,1,WLA,2025-04-03,14.0,18.0,L,14-18,,Maryland,False,593881
04/06/2025,Colorado,13-14,25.0,13.0,8.0,21.0,21.0,16.0,18.0,16.0,4.0,6.0,4.0,,3.0,1.0,16.0,28,Arizona St.,2025,1,1,WLA,2025-04-06,13.0,14.0,L,13-14,,Colorado,False,593881
04/12/2025,@ UC Davis,20-11,12.0,20.0,6.0,26.0,29.0,23.0,14.0,8.0,3.0,4.0,3.0,,,1.0,19.0,28,Arizona St.,2025,1,1,WLA,2025-04-12,20.0,11.0,W,20-11,,UC Davis,True,593881
